,Ahvaz,Arak,Ardabil,Bandar Abbas,Birjand,Bojnord,Bushehr,Gorgan,Hamadan,Ilam,Isfahan,Karaj,Kerman,Kermanshah,Khorramabad,Mashhad,Qazvin,Qom,Rasht,Sanandaj,Sari,Semnan,Shahr-e Kord,Shiraz,Tabriz,Tehran,Urmia,Yasuj,Yazd,Zahedan,Zanjan
Ahvaz,0.0,320.0,771.0,864.0,1003.0,1044.0,335.0,806.0,386.0,335.0,317.0,541.0,805.0,366.0,242.0,1145.0,562.0,421.0,666.0,474.0,706.0,641.0,230.0,411.0,783.0,546.0,768.0,283.0,538.0,1181.0,595.0
Arak,320.0,0.0,479.0,991.0,893.0,784.0,585.0,526.0,133.0,305.0,244.0,224.0,812.0,240.0,140.0,932.0,243.0,125.0,354.0,283.0,411.0,375.0,224.0,565.0,538.0,238.0,566.0,420.0,500.0,1172.0,307.0
Ardabil,771.0,479.0,0.0,1436.0,1153.0,797.0,1063.0,563.0,384.0,540.0,692.0,361.0,1196.0,450.0,529.0,1022.0,267.0,461.0,157.0,345.0,459.0,541.0,698.0,1036.0,177.0,398.0,293.0,895.0,896.0,1511.0,176.0
Bandar Abbas,864.0,991.0,1436.0,0.0,693.0,1148.0,567.0,1085.0,1122.0,1184.0,751.0,1080.0,353.0,1181.0,1031.0,1059.0,1170.0,975.0,1284.0,1263.0,1085.0,972.0,774.0,454.0,1527.0,1049.0,1557.0,597.0,554.0,517.0,1284.0
Birjand,1003.0,893.0,1153.0,693.0,0.0,539.0,912.0,619.0,1010.0,1191.0,703.0,822.0,352.0,1134.0,1012.0,380.0,924.0,795.0,1002.0,1158.0,696.0,614.0,785.0,732.0,1304.0,780.0,1384.0,761.0,468.0,407.0,1066.0
Bojnord,1044.0,784.0,797.0,1148.0,539.0,0.0,1126.0,266.0,845.0,1073.0,740.0,595.0,799.0,986.0,924.0,241.0,665.0,658.0,683.0,956.0,392.0,410.0,821.0,981.0,972.0,562.0,1080.0,922.0,676.0,945.0,789.0
Bushehr,335.0,585.0,1063.0,567.0,912.0,1126.0,0.0,941.0,689.0,671.0,424.0,766.0,621.0,697.0,559.0,1159.0,820.0,637.0,936.0,800.0,875.0,778.0,378.0,181.0,1101.0,754.0,1098.0,207.0,473.0,975.0,889.0
Gorgan,806.0,526.0,563.0,1085.0,619.0,266.0,941.0,0.0,579.0,808.0,525.0,328.0,767.0,719.0,665.0,465.0,400.0,401.0,432.0,690.0,126.0,167.0,597.0,822.0,732.0,297.0,832.0,733.0,548.0,1010.0,530.0
Hamadan,386.0,133.0,384.0,1122.0,1010.0,845.0,689.0,579.0,0.0,231.0,377.0,250.0,945.0,140.0,146.0,1015.0,211.0,216.0,292.0,152.0,454.0,451.0,349.0,689.0,415.0,282.0,435.0,541.0,632.0,1302.0,208.0
Ilam,335.0,305.0,540.0,1184.0,1191.0,1073.0,671.0,808.0,231.0,0.0,502.0,481.0,1070.0,97.0,179.0,1234.0,437.0,425.0,495.0,195.0,685.0,672.0,438.0,730.0,493.0,511.0,451.0,587.0,767.0,1441.0,385.0
Isfahan,317.0,244.0,692.0,751.0,703.0,740.0,424.0,525.0,377.0,502.0,0.0,355.0,574.0,465.0,323.0,828.0,429.0,233.0,546.0,526.0,451.0,359.0,87.0,349.0,775.0,336.0,810.0,222.0,265.0,941.0,533.0
Karaj,541.0,224.0,361.0,1080.0,822.0,595.0,766.0,328.0,250.0,481.0,355.0,0.0,835.0,391.0,352.0,775.0,102.0,128.0,205.0,366.0,204.0,218.0,387.0,704.0,488.0,42.0,561.0,573.0,535.0,1159.0,244.0
Kerman,805.0,812.0,1196.0,353.0,352.0,799.0,621.0,767.0,945.0,1070.0,574.0,835.0,0.0,1039.0,895.0,707.0,934.0,756.0,1039.0,1096.0,791.0,681.0,632.0,444.0,1315.0,797.0,1368.0,526.0,313.0,376.0,1066.0
Kermanshah,366.0,240.0,450.0,1181.0,1134.0,986.0,697.0,719.0,140.0,97.0,465.0,391.0,1039.0,0.0,149.0,1155.0,341.0,349.0,398.0,112.0,595.0,590.0,414.0,733.0,423.0,423.0,401.0,585.0,729.0,1405.0,289.0
Khorramabad,242.0,140.0,529.0,1031.0,1012.0,924.0,559.0,665.0,146.0,179.0,323.0,352.0,895.0,149.0,0.0,1070.0,343.0,265.0,435.0,241.0,547.0,515.0,266.0,584.0,543.0,372.0,540.0,436.0,589.0,1264.0,354.0
Mashhad,1145.0,932.0,1022.0,1059.0,380.0,241.0,1159.0,465.0,1015.0,1234.0,828.0,775.0,707.0,1155.0,1070.0,0.0,860.0,809.0,897.0,1142.0,586.0,564.0,915.0,993.0,1195.0,737.0,1297.0,969.0,685.0,764.0,994.0
Qazvin,562.0,243.0,267.0,1170.0,924.0,665.0,820.0,400.0,211.0,437.0,429.0,102.0,934.0,341.0,343.0,860.0,0.0,196.0,117.0,291.0,275.0,314.0,445.0,777.0,386.0,144.0,460.0,639.0,631.0,1262.0,143.0
Qom,421.0,125.0,461.0,975.0,795.0,658.0,637.0,401.0,216.0,425.0,233.0,128.0,756.0,349.0,265.0,809.0,196.0,0.0,313.0,363.0,289.0,250.0,258.0,582.0,560.0,125.0,613.0,447.0,446.0,1100.0,311.0
Rasht,666.0,354.0,157.0,1284.0,1002.0,683.0,936.0,432.0,292.0,495.0,546.0,205.0,1039.0,398.0,435.0,897.0,117.0,313.0,0.0,318.0,317.0,388.0,562.0,894.0,304.0,241.0,400.0,757.0,740.0,1355.0,119.0
Sanandaj,474.0,283.0,345.0,1263.0,1158.0,956.0,800.0,690.0,152.0,195.0,526.0,366.0,1096.0,112.0,241.0,1142.0,291.0,363.0,318.0,0.0,563.0,581.0,489.0,822.0,311.0,405.0,299.0,673.0,783.0,1454.0,200.0
Sari,706.0,411.0,459.0,1085.0,696.0,392.0,875.0,126.0,454.0,685.0,451.0,204.0,791.0,595.0,547.0,586.0,275.0,289.0,317.0,563.0,0.0,113.0,512.0,775.0,622.0,175.0,716.0,669.0,533.0,1070.0,408.0
Semnan,641.0,375.0,541.0,972.0,614.0,410.0,778.0,167.0,451.0,672.0,359.0,218.0,681.0,590.0,515.0,564.0,314.0,250.0,388.0,581.0,113.0,0.0,430.0,668.0,690.0,177.0,774.0,570.0,419.0,973.0,457.0
Shahr-e Kord,230.0,224.0,698.0,774.0,785.0,821.0,378.0,597.0,349.0,438.0,87.0,387.0,632.0,414.0,266.0,915.0,445.0,258.0,562.0,489.0,512.0,430.0,0.0,341.0,762.0,377.0,784.0,196.0,334.0,1004.0,529.0
Shiraz,411.0,565.0,1036.0,454.0,732.0,981.0,181.0,822.0,689.0,730.0,349.0,704.0,444.0,733.0,584.0,993.0,777.0,582.0,894.0,822.0,775.0,668.0,341.0,0.0,1103.0,683.0,1120.0,148.0,309.0,806.0,870.0
Tabriz,783.0,538.0,177.0,1527.0,1304.0,972.0,1101.0,732.0,415.0,493.0,775.0,488.0,1315.0,423.0,543.0,1195.0,386.0,560.0,304.0,311.0,622.0,690.0,762.0,1103.0,0.0,529.0,121.0,956.0,1006.0,1647.0,249.0
Tehran,546.0,238.0,398.0,1049.0,780.0,562.0,754.0,297.0,282.0,511.0,336.0,42.0,797.0,423.0,372.0,737.0,144.0,125.0,241.0,405.0,175.0,177.0,377.0,683.0,529.0,0.0,604.0,557.0,501.0,1119.0,286.0
Urmia,768.0,566.0,293.0,1557.0,1384.0,1080.0,1098.0,832.0,435.0,451.0,810.0,561.0,1368.0,401.0,540.0,1297.0,460.0,613.0,400.0,299.0,716.0,774.0,784.0,1120.0,121.0,604.0,0.0,971.0,1056.0,1712.0,317.0
Yasuj,283.0,420.0,895.0,597.0,761.0,922.0,207.0,733.0,541.0,587.0,222.0,573.0,526.0,585.0,436.0,969.0,639.0,447.0,757.0,673.0,669.0,570.0,196.0,148.0,956.0,557.0,971.0,0.0,297.0,901.0,726.0
Yazd,538.0,500.0,896.0,554.0,468.0,676.0,473.0,548.0,632.0,767.0,265.0,535.0,313.0,729.0,589.0,685.0,631.0,446.0,740.0,783.0,533.0,419.0,334.0,309.0,1006.0,501.0,1056.0,297.0,0.0,675.0,757.0
Zahedan,1181.0,1172.0,1511.0,517.0,407.0,945.0,975.0,1010.0,1302.0,1441.0,941.0,1159.0,376.0,1405.0,1264.0,764.0,1262.0,1100.0,1355.0,1454.0,1070.0,973.0,1004.0,806.0,1647.0,1119.0,1712.0,901.0,675.0,0.0,1400.0
Zanjan,595.0,307.0,176.0,1284.0,1066.0,789.0,889.0,530.0,208.0,385.0,533.0,244.0,1066.0,289.0,354.0,994.0,143.0,311.0,119.0,200.0,408.0,457.0,529.0,870.0,249.0,286.0,317.0,726.0,757.0,1400.0,0.0
